g2dmark,level,maxtdp,name,price,rank,sample,score,segment
1316,high_end,450,GeForce RTX 4090,"1,599.00",1,3965,"39,118",gpus
1273,high_end,320,GeForce RTX 4080,"1,099.00",2,2125,"35,110",gpus
1091,high_end,-1,Radeon PRO W7800,NA,3,2,"32,146",gpus
1207,high_end,285,GeForce RTX 4070 Ti,789.99,4,2376,"31,656",gpus
1265,high_end,355,Radeon RX 7900 XTX,999.99,5,1026,"31,639",gpus
1018,high_end,-1,Radeon PRO W7900,NA,6,6,"31,126",gpus
1221,high_end,450,GeForce RTX 3090 Ti,"1,707.00",7,1508,"29,832",gpus
1027,high_end,150,GeForce RTX 4090 Laptop GPU,NA,8,185,"29,553",gpus
1198,high_end,315,Radeon RX 7900 XT,749.99,9,687,"29,215",gpus
1039,high_end,335,Radeon RX 6950 XT,629.99,10,1019,"28,827",gpus
1098,high_end,350,GeForce RTX 3080 Ti,"1,143.99",11,7046,"27,416",gpus
1061,high_end,300,Radeon RX 6900 XT,"1,342.46",12,4000,"27,013",gpus
1142,high_end,200,GeForce RTX 4070,599.99,13,968,"27,001",gpus
1050,high_end,350,GeForce RTX 3090,"1,836.42",14,8067,"26,956",gpus
1081,high_end,150,GeForce RTX 4080 Laptop GPU,NA,15,239,"26,893",gpus
1096,high_end,350,GeForce RTX 3080 12GB,NA,16,1545,"26,844",gpus
1044,high_end,320,GeForce RTX 3080,879.99,17,12720,"25,404",gpus
1035,high_end,300,Radeon RX 6800 XT,510.66,18,2991,"25,149",gpus
1054,high_end,290,GeForce RTX 3070 Ti,405.99,19,6343,"23,814",gpus
880,high_end,-1,RTX 6000 Ada Generation,NA,20,7,"23,546",gpus
1036,high_end,230,RTX A5000,"2,141.99*",21,296,"23,211",gpus
883,high_end,300,RTX A6000,"4,109.99",22,165,"22,639",gpus
1044,high_end,160,GeForce RTX 4060 Ti,379.99,23,122,"22,545",gpus
985,high_end,250,Radeon RX 6800,274.99,24,1400,"22,530",gpus
1003,high_end,220,GeForce RTX 3070,499.99,25,14191,"22,504",gpus
1007,high_end,-1,NVIDIA A10,NA,26,2,"22,064",gpus
939,high_end,250,GeForce RTX 2080 Ti,"1,124.99*",27,10040,"21,883",gpus
1103,high_end,-1,RTX A4500,"1,079.99*",28,137,"21,757",gpus
505,high_end,-1,RTX 4000 Ada Generation Laptop GPU,NA,29,4,"21,359",gpus
1064,high_end,-1,RTX 4000 SFF Ada Generation,NA,30,4,"21,300",gpus
950,high_end,250,Radeon RX 6750 XT,379.99,31,1026,"21,266",gpus
605,high_end,-1,RTX 5000 Ada Generation Laptop GPU,NA,32,15,"20,796",gpus
1004,high_end,200,GeForce RTX 3060 Ti,319.99,33,11293,"20,629",gpus
910,high_end,250,Quadro GV100,"8,999.00*",34,25,"20,600",gpus
865,high_end,115,GeForce RTX 3080 Ti Laptop GPU,NA,35,732,"20,432",gpus
970,high_end,115,GeForce RTX 4060,299.99,36,26,"20,123",gpus
869,high_end,250,TITAN V,"1,999.99*",37,87,"19,920",gpus
957,high_end,230,Radeon RX 6700 XT,349.99,38,4529,"19,897",gpus
829,high_end,280,TITAN RTX,"2,794.99*",39,189,"19,883",gpus
811,high_end,115,GeForce RTX 4070 Laptop GPU,NA,40,336,"19,738",gpus
937,high_end,-1,Radeon PRO W6800,"1,849.99*",41,76,"19,709",gpus
605,high_end,-1,RTX 3500 Ada Generation Laptop GPU,NA,42,11,"19,704",gpus
932,high_end,250,GeForce RTX 2080 SUPER,740.99*,43,5943,"19,581",gpus
871,high_end,260,Quadro RTX 8000,"4,741.49*",44,53,"19,402",gpus
917,high_end,250,TITAN Xp COLLECTORS EDITION,NA,45,185,"19,304",gpus
977,high_end,140,RTX A4000,749.99*,46,681,"19,216",gpus
816,high_end,295,Quadro RTX 6000,"6,300.00*",47,130,"19,204",gpus
922,high_end,175,Radeon RX 6700,NA,48,459,"18,956",gpus
914,high_end,250,GeForce RTX 2080,800.61,49,7954,"18,810",gpus
650,high_end,-1,Radeon RX 6850M XT,NA,50,18,"18,738",gpus
897,high_end,250,NVIDIA TITAN Xp,"1,645.00*",51,275,"18,692",gpus
767,high_end,-1,Tesla P40,NA,52,3,"18,514",gpus
943,high_end,250,GeForce GTX 1080 Ti,483.82*,53,24380,"18,510",gpus
780,high_end,115,GeForce RTX 4060 Laptop GPU,NA,54,354,"18,463",gpus
793,high_end,115,GeForce RTX 3070 Ti Laptop GPU,NA,55,1570,"18,460",gpus
549,high_end,-1,NVIDIA A10G,NA,56,3,"18,407",gpus
893,high_end,215,GeForce RTX 2070 SUPER,497.95,57,11612,"18,256",gpus
736,high_end,-1,RTX A5500 Laptop GPU,NA,58,124,"18,036",gpus
522,high_end,-1,A40-48Q,NA,-1,1,"17,864",gpus
927,high_end,176,Radeon RX 6650 XT,244.99,59,1065,"17,611",gpus
1059,high_end,-1,Radeon Pro W5700X,NA,-1,1,"17,591",gpus
788,high_end,-1,RTX A5500,"2,169.99*",60,9,"17,585",gpus
720,high_end,-1,RTX A4500 Laptop GPU,NA,61,134,"17,559",gpus
981,high_end,170,GeForce RTX 3060,259.99,62,12178,"17,177",gpus
1085,high_end,250,TITAN V CEO Edition,NA,63,1,"16,988",gpus
940,high_end,225,Radeon RX 5700 XT,459.99,64,10131,"16,911",gpus
788,high_end,300,Radeon VII,"1,899.95*",65,716,"16,790",gpus
655,high_end,115,GeForce RTX 3080 Laptop GPU,NA,66,1569,"16,671",gpus
980,high_end,165,Radeon RX 7600,257.99,67,34,"16,657",gpus
961,high_end,235,Radeon RX 5700 XT 50th Anniversary,NA,68,168,"16,633",gpus
870,high_end,175,GeForce RTX 2060 SUPER,370.32,69,5644,"16,600",gpus
932,high_end,160,Radeon RX 6600 XT,349.99,70,2667,"16,467",gpus
1063,high_end,-1,Radeon PRO W6600,NA,71,63,"16,270",gpus
405,high_end,-1,Tesla V100-SXM2-16GB,NA,-1,1,"16,235",gpus
767,high_end,230,Quadro RTX 5000,NA,72,384,"16,195",gpus
832,high_end,175,GeForce RTX 2070,269.99*,73,10384,"16,175",gpus
917,high_end,-1,Radeon Pro Vega II Duo,NA,-1,1,"15,977",gpus
606,high_end,165,RTX A5000 Laptop GPU,NA,74,139,"15,933",gpus
604,high_end,-1,Miracast display port driver V3,NA,-1,1,"15,910",gpus
846,high_end,185,GeForce RTX 2060 12GB,NA,75,530,"15,897",gpus
733,high_end,250,Quadro P6000,"3,250.00*",76,83,"15,710",gpus
795,high_end,-1,Radeon Pro Vega II,NA,77,4,"15,668",gpus
556,high_end,140,RTX A4000 Laptop GPU,NA,78,115,"15,624",gpus
820,high_end,235,Quadro GP100,NA,79,28,"15,608",gpus
653,high_end,115,GeForce RTX 3070 Laptop GPU,NA,80,3799,"15,548",gpus
909,high_end,205,Radeon Pro W5700,649.99*,81,127,"15,544",gpus
895,high_end,180,GeForce GTX 1080,442.79*,82,32807,"15,489",gpus
711,high_end,100,Radeon RX 6800S,NA,83,67,"15,464",gpus
744,high_end,-1,Radeon Pro VII,NA,84,10,"15,441",gpus
890,high_end,160,Quadro RTX 4000,899.00*,85,1011,"15,437",gpus
648,high_end,115,GeForce RTX 4050 Laptop GPU,NA,86,138,"15,371",gpus
561,high_end,-1,RTX 2000 Ada Generation Laptop GPU,NA,87,30,"15,188",gpus
888,high_end,132,Radeon RX 6600,329.00*,88,3146,"15,160",gpus
812,high_end,150,GeForce RTX 2080 (Mobile),NA,89,201,"15,107",gpus
643,high_end,80,Radeon RX 6600S,NA,90,2,"14,897",gpus
705,high_end,110,Quadro RTX 5000 (Mobile),NA,91,66,"14,832",gpus
883,high_end,180,GeForce GTX 1070 Ti,569.99*,92,8964,"14,710",gpus
906,high_end,180,Radeon RX 5700,309.99*,93,1765,"14,697",gpus
635,high_end,120,Radeon RX 7600M XT,NA,94,1,"14,691",gpus
730,high_end,80,Radeon RX 6700S,NA,95,187,"14,664",gpus
602,high_end,-1,RTX A3000 12GB Laptop GPU,NA,96,141,"14,638",gpus
948,high_end,-1,Radeon Pro Vega 64X,NA,-1,1,"14,631",gpus
809,high_end,295,Radeon RX Vega 64,749.99*,97,2692,"14,590",gpus
769,high_end,-1,RadeonT RX 6850M XT,NA,98,1,"14,146",gpus
622,high_end,75,Radeon RX 7600S,NA,99,3,"14,143",gpus
752,high_end,160,GeForce RTX 2060,265.37,100,16234,"14,104",gpus
649,high_end,80,GeForce RTX 2070 Super with Max-Q Design,NA,101,226,"14,029",gpus
819,high_end,230,Radeon Pro WX 8200,"1,599.39*",102,75,"13,926",gpus
859,high_end,250,GeForce GTX 980 Ti,816.99,103,13187,"13,865",gpus
893,high_end,150,Radeon RX 5600 XT,545.00*,104,2353,"13,818",gpus
594,high_end,80,GeForce RTX 2080 Super with Max-Q Design,NA,105,292,"13,798",gpus
1005,high_end,-1,RTX A2000,419.00,106,325,"13,726",gpus
912,high_end,250,NVIDIA TITAN X,608.10*,107,500,"13,660",gpus
702,high_end,100,Radeon RX 6600M,189.99,108,302,"13,636",gpus
584,high_end,80,Quadro RTX 5000 with Max-Q Design,NA,109,95,"13,617",gpus
1143,high_end,-1,RTX A2000 12GB,NA,110,330,"13,534",gpus
785,high_end,210,Radeon RX Vega 56,752.99*,111,2676,"13,506",gpus
856,high_end,150,GeForce GTX 1070,488.09*,112,41054,"13,505",gpus
750,high_end,350,Radeon Vega Frontier Edition,"1,679.99*",113,152,"13,463",gpus
588,high_end,115,GeForce RTX 3060 Laptop GPU,309.99*,114,7383,"13,364",gpus
593,high_end,135,Radeon RX 6700M,273.36,115,96,"13,339",gpus
479,high_end,-1,A10-8Q,NA,116,2,"13,235",gpus
764,high_end,230,Radeon Pro WX 9100,NA,117,90,"13,192",gpus
542,high_end,90,GeForce RTX 2080 with Max-Q Design,"2,099.99*",118,421,"13,183",gpus
856,high_end,-1,Radeon PRO W6600X,NA,119,2,"13,113",gpus
848,high_end,250,GeForce GTX TITAN X,"1,096.99*",120,1615,"13,070",gpus
958,high_end,130,GeForce RTX 3050,229.99,121,2216,"13,003",gpus
559,high_end,145,Radeon RX 6800M,NA,122,358,"12,985",gpus
821,high_end,120,GeForce GTX 1660 Ti,324.77,123,6440,"12,955",gpus
803,high_end,-1,Radeon Pro Vega 64,NA,124,20,"12,919",gpus
657,high_end,-1,Radeon RX 6650M,NA,125,11,"12,889",gpus
818,high_end,125,GeForce GTX 1660 SUPER,219.99,126,8921,"12,803",gpus
677,high_end,-1,Quadro P5200,NA,127,102,"12,776",gpus
1014,high_end,-1,Radeon RX 5600 OEM,NA,-1,1,"12,738",gpus
829,high_end,130,Radeon Pro 5700 XT,NA,128,23,"12,690",gpus
594,high_end,-1,Tesla T10,NA,129,2,"12,650",gpus
567,high_end,80,Quadro RTX 4000 with Max-Q Design,NA,130,56,"12,620",gpus
488,high_end,-1,Quadro P5200 with Max-Q Design,NA,131,24,"12,608",gpus
487,high_end,130,RTX A3000 Laptop GPU,NA,132,286,"12,510",gpus
553,high_end,110,Quadro RTX 4000 (Mobile),NA,133,130,"12,447",gpus
601,high_end,115,GeForce RTX 2070 (Mobile),NA,134,411,"12,354",gpus
827,high_end,-1,Radeon Pro Vega 56,NA,135,20,"12,354",gpus
693,high_end,180,Quadro P5000,"1,868.99*",136,650,"12,335",gpus
713,high_end,-1,Radeon RX 6850M,NA,137,3,"12,274",gpus
525,high_end,-1,Radeon Pro V520 MxGPU,NA,138,9,"12,258",gpus
931,high_end,-1,GeForce RTX 3050 OEM,NA,139,50,"12,004",gpus
494,high_end,80,GeForce RTX 2070 with Max-Q Design,NA,140,1396,"11,917",gpus
743,high_end,250,Quadro M6000,"4,827.53*",141,126,"11,848",gpus
829,high_end,130,Radeon Pro 5700,NA,142,3,"11,844",gpus
621,high_end,-1,Quadro P4200 with Max-Q Design,NA,143,41,"11,816",gpus
726,high_end,250,Quadro M6000 24GB,NA,144,78,"11,810",gpus
791,high_end,120,GeForce GTX 1660,254.99,145,4805,"11,729",gpus
746,high_end,110,GeForce GTX 1080 with Max-Q Design,NA,146,169,"11,571",gpus
820,high_end,105,Quadro P4000,556.19*,147,1771,"11,548",gpus
882,high_end,150,Radeon RX 5600,NA,148,35,"11,449",gpus
539,high_end,80,GeForce RTX 2060 (Mobile),NA,149,1241,"11,355",gpus
783,high_end,-1,Radeon Pro Vega 48,NA,150,14,"11,300",gpus
806,high_end,165,GeForce GTX 980,247.35*,151,12777,"11,124",gpus
525,high_end,80,Quadro RTX 3000,NA,152,572,"11,095",gpus
1309,high_end,-1,RTX A1000 Embedded GPU,NA,-1,1,"11,047",gpus
499,high_end,-1,GRID P40-12Q,NA,-1,1,"11,028",gpus
536,high_end,-1,RTX A2000 8GB Laptop GPU,NA,153,252,"10,924",gpus
572,high_end,-1,Tesla T4,"4,440.36",154,44,"10,847",gpus
554,high_end,-1,RTX A1000 6GB Laptop GPU,NA,155,18,"10,808",gpus
601,high_end,-1,Radeon Pro SSG,"2,410.15*",156,5,"10,498",gpus
333,high_end,-1,Tesla M40 24GB,NA,157,3,"10,475",gpus
603,high_end,-1,GeForce GTX 1070 (Mobile),NA,158,642,"10,465",gpus
499,high_end,100,Quadro P4200,NA,159,68,"10,266",gpus
485,high_end,-1,Tesla M40,600.00*,160,13,"10,212",gpus
495,high_end,80,GeForce GTX 1660 Ti (Mobile),NA,161,3709,"10,192",gpus
493,high_end,80,GeForce RTX 3050 Ti Laptop GPU,NA,162,3324,"10,126",gpus
756,high_end,100,GeForce GTX 1650 SUPER,285.38*,163,3803,"10,108",gpus
472,high_end,95,RTX A2000 Laptop GPU,NA,164,408,"10,075",gpus
758,high_end,120,GeForce GTX 1060,279.99*,165,38072,"10,071",gpus
445,high_end,90,GeForce GTX 1070 with Max-Q Design,NA,166,652,"10,067",gpus
840,high_end,-1,Radeon R9 Fury X,NA,167,107,"10,041",gpus
422,high_end,65,GeForce RTX 2060 with Max-Q Design,NA,168,727,"9,786",gpus
782,high_end,120,GeForce GTX 1060 3GB,269.99*,169,16920,"9,743",gpus
811,high_end,275,Radeon R9 Fury + Fury X,449.99*,170,705,"9,741",gpus
778,high_end,145,GeForce GTX 970,237.99*,171,47532,"9,640",gpus
797,high_end,-1,Radeon R9 Fury,443.10*,172,421,"9,611",gpus
592,high_end,80,GeForce RTX 3050 6GB Laptop GPU,NA,173,23,"9,601",gpus
804,high_end,175,Radeon RX 590,549.99*,174,2780,"9,547",gpus
839,high_end,107,Radeon RX 6500 XT,159.99,175,930,"9,508",gpus
516,high_end,-1,RTX A1000 Laptop GPU,NA,176,232,"9,507",gpus
622,high_end,250,GeForce GTX 780 Ti,339.99*,177,4674,"9,463",gpus
416,high_end,-1,Radeon Ryzen 9 4900HSS,NA,-1,1,"9,461",gpus
816,high_end,275,Radeon R9 390X,NA,178,1215,"9,453",gpus
945,high_end,75,Quadro P2200,459.80*,179,749,"9,384",gpus
464,high_end,75,GeForce RTX 3050 Laptop GPU,269.99*,180,3585,"9,372",gpus
668,high_end,150,Quadro M5000,499.00*,181,258,"9,352",gpus
692,high_end,50,Radeon Pro 5600M,NA,182,14,"9,314",gpus
553,high_end,-1,Quadro P3200 with Max-Q Design,NA,183,87,"9,249",gpus
798,high_end,130,Radeon RX 5500 XT,184.99*,184,1904,"9,188",gpus
502,high_end,-1,NVIDIA A40,NA,185,3,"9,170",gpus
386,high_end,-1,Tesla P4,NA,186,17,"9,120",gpus
266,high_end,-1,GRID P40-2B4,NA,187,1,"9,111",gpus
831,high_end,125,Radeon Pro W5500,409.99*,188,141,"9,107",gpus
699,high_end,80,Quadro P4000 with Max-Q Design,NA,189,2,"9,083",gpus
605,high_end,250,GeForce GTX TITAN Black,524.99*,190,417,"9,073",gpus
811,high_end,275,Radeon R9 390,NA,191,2999,"9,031",gpus
656,high_end,375,GeForce GTX TITAN Z,"1,515.00*",192,129,"8,987",gpus
271,high_end,-1,GRID P40-8Q,NA,193,2,"8,967",gpus
597,high_end,120,GeForce GTX 1060 5GB,487.99*,194,81,"8,917",gpus
775,high_end,185,Radeon RX 580,179.99*,195,20939,"8,912",gpus
484,high_end,-1,Quadro P3200,389.30*,196,262,"8,905",gpus
784,high_end,150,Radeon RX 5500,NA,197,135,"8,860",gpus
779,high_end,-1,Radeon R9 290X,NA,198,310,"8,725",gpus
785,high_end,150,Radeon RX 480,339.99*,199,11034,"8,692",gpus
371,high_end,60,GeForce GTX 1660 Ti with Max-Q Design,NA,200,858,"8,661",gpus
784,high_end,500,Radeon R9 295X2,499.10*,201,531,"8,638",gpus
623,high_end,225,Intel Arc A770,319.99,202,376,"8,624",gpus
646,high_end,175,Radeon RX590 GME,NA,203,59,"8,604",gpus
345,high_end,60,Quadro RTX 3000 with Max-Q Design,NA,204,79,"8,587",gpus
592,high_end,-1,GRID RTX6000-1B,NA,205,3,"8,473",gpus
790,high_end,-1,Radeon R9 290,NA,206,454,"8,400",gpus
698,high_end,290,Radeon R9 290X / 390X,319.99*,207,4607,"8,389",gpus
414,high_end,-1,Ryzen 5 4600HS with Radeon Graphics,NA,208,3,"8,371",gpus
612,high_end,-1,Radeon Pro 5500 XT,NA,209,7,"8,326",gpus
720,high_end,350,Radeon Pro Duo,"3,970.36",210,708,"8,294",gpus
327,high_end,-1,Tesla V100-PCIE-32GB,NA,-1,1,"8,260",gpus
611,high_end,225,Intel Arc A750,219.99,211,156,"8,213",gpus
627,high_end,250,GeForce GTX Titan,745.00*,212,1217,"8,186",gpus
444,high_end,80,GeForce GTX 1060 (Mobile),NA,213,1662,"8,161",gpus
695,high_end,275,Radeon R9 290 / 390,380.00*,214,8447,"8,150",gpus
730,high_end,120,Radeon RX 470/570,388.99*,215,15594,"8,065",gpus
537,high_end,225,Quadro K6000,210.66*,216,162,"8,020",gpus
590,high_end,250,GeForce GTX 780,279.99*,217,8556,"8,019",gpus
836,high_end,-1,Ryzen 9 6900HS,NA,218,3,"8,005",gpus
416,high_end,-1,Radeon RX 6500M,NA,219,68,"8,000",gpus
833,high_end,-1,Radeon PRO W6400,NA,220,17,"7,936",gpus
776,high_end,275,FirePro W9100,"1,729.99*",221,30,"7,928",gpus
417,high_end,80,GeForce GTX 1060 with Max-Q Design,NA,222,1855,"7,923",gpus
697,high_end,150,Quadro M5500,NA,223,3,"7,915",gpus
801,high_end,130,Radeon Pro WX 7100,"1,047.99*",224,280,"7,914",gpus
503,high_end,150,Radeon RX 5600M,NA,225,102,"7,897",gpus
582,high_end,75,GeForce GTX 1650,144.99,226,13149,"7,854",gpus
884,high_end,185,Radeon RX 580X,NA,227,1,"7,798",gpus
449,high_end,-1,T1200 Laptop GPU,NA,228,284,"7,772",gpus
562,high_end,-1,Tesla M60,787.90*,229,17,"7,771",gpus
660,high_end,-1,Radeon RX 580 2048SP,NA,230,823,"7,760",gpus
942,high_end,-1,Radeon Pro 580,NA,231,2,"7,753",gpus
849,high_end,-1,T1000,399.99,232,227,"7,681",gpus
868,high_end,-1,T1000 8GB,NA,233,125,"7,670",gpus
807,high_end,100,Radeon RX 5300,NA,234,16,"7,663",gpus
697,high_end,150,Radeon Pro 580X,NA,235,1,"7,540",gpus
395,high_end,55,GeForce GTX 1650 Ti,NA,236,2283,"7,540",gpus
440,high_end,-1,Tesla M6,199.00*,237,2,"7,509",gpus
705,high_end,53,Radeon RX 6400,154.99,238,383,"7,480",gpus
633,high_end,-1,Radeon Pro 5300,NA,239,9,"7,416",gpus
505,high_end,100,GeForce GTX 980M,289.99*,240,2559,"7,368",gpus
736,high_end,220,FirePro W8100,704.00*,241,51,"7,313",gpus
572,high_end,-1,Tesla P100-PCIE-16GB,NA,242,2,"7,225",gpus
918,high_end,-1,Radeon 780M,NA,243,26,"7,217",gpus
373,high_end,-1,Radeon Ryzen 9 4900HS,NA,244,10,"7,186",gpus
588,high_end,150,Intel Arc A770M,NA,245,20,"7,147",gpus
467,high_end,-1,Quadro T2000,528.35*,246,555,"7,135",gpus
397,high_end,80,GeForce RTX 3050 4GB Laptop GPU,NA,247,17,"7,079",gpus
485,high_end,100,Quadro M5000M,546.92*,248,186,"7,025",gpus
432,high_end,-1,T600 Laptop GPU,NA,249,177,"7,014",gpus
660,high_end,75,Quadro P2000,439.60,250,2055,"7,005",gpus
354,high_end,-1,Ryzen 7 4800HS with Radeon Graphics,NA,-1,1,"6,999",gpus
430,high_end,45,GeForce RTX 2050,NA,251,73,"6,973",gpus
384,high_end,50,GeForce GTX 1650 (Mobile),NA,252,1756,"6,969",gpus
445,high_end,-1,Quadro T2000 with Max-Q Design,NA,253,166,"6,895",gpus
704,high_end,-1,Ryzen 7 6800HS with Radeon Graphics,NA,254,3,"6,867",gpus
678,high_end,85,Radeon Pro 5500M,NA,255,126,"6,826",gpus
662,high_end,-1,Radeon RX 6500,NA,256,3,"6,802",gpus
771,high_end,-1,Radeon Ryzen 7 6800HS,NA,257,9,"6,775",gpus
724,high_end,-1,GeForce GTX 970XM FORCE,NA,258,1,"6,707",gpus
443,high_end,-1,RTX A500 Laptop GPU,NA,259,36,"6,699",gpus
597,high_end,-1,Radeon R9 285,NA,-1,1,"6,680",gpus
438,high_end,-1,Quadro T1000 with Max-Q Design,NA,260,118,"6,666",gpus
692,high_end,120,Quadro M4000,362.00*,261,1320,"6,652",gpus
446,high_end,75,Quadro P3000,NA,262,186,"6,595",gpus
433,high_end,-1,Quadro T1000,404.98,263,569,"6,593",gpus
555,high_end,130,Radeon Pro WX 7130,NA,264,7,"6,578",gpus
802,high_end,-1,Radeon RX Vega M GH,NA,265,318,"6,571",gpus
668,high_end,-1,Radeon Ryzen 9 7950X 16-Core,NA,266,81,"6,552",gpus
740,high_end,-1,T600,239.99*,267,270,"6,513",gpus
715,high_end,-1,Radeon Ryzen 9 6900HS,NA,268,9,"6,439",gpus
334,high_end,35,GeForce GTX 1650 Ti with Max-Q Design,NA,269,310,"6,369",gpus
443,high_end,-1,Radeon Ryzen 7 4800HS,NA,270,10,"6,345",gpus
697,high_end,-1,Radeon Pro 570,NA,271,2,"6,337",gpus
651,high_end,75,GeForce GTX 1050 Ti,204.99,272,30450,"6,299",gpus
670,high_end,190,Radeon R9 380X,349.99*,273,1097,"6,261",gpus
690,high_end,250,Radeon R9 280X,NA,274,4932,"6,241",gpus
664,high_end,190,Radeon R9 380,89.99*,275,3504,"6,240",gpus
438,high_end,100,Quadro M4000M,254.91*,276,117,"6,231",gpus
720,high_end,274,FirePro W9000,845.00*,277,14,"6,138",gpus
322,high_end,35,GeForce GTX 1650 with Max-Q Design,NA,278,983,"6,078",gpus
390,high_end,-1,GeForce MX570 A,NA,279,26,"6,062",gpus
676,high_end,120,GeForce GTX 960,172.00*,280,22967,"6,031",gpus
265,high_end,-1,P106-100,NA,281,13,"6,001",gpus
549,high_end,-1,Ryzen 9 5900HS with Radeon Graphics,NA,282,31,"5,991",gpus
625,high_end,85,Radeon Pro 5300M,NA,283,40,"5,973",gpus
756,high_end,-1,GRID P100-16Q,NA,284,1,"5,945",gpus
386,high_end,-1,Tesla K80,593.95*,285,2,"5,940",gpus
510,high_end,150,Quadro K5200,415.00*,286,298,"5,926",gpus
322,high_end,-1,GeForce GTX 1050 Ti (Mobile),NA,287,1543,"5,919",gpus
555,high_end,230,GeForce GTX 770,249.00*,288,14523,"5,893",gpus
745,high_end,-1,Ryzen 9 6900HS with Radeon Graphics,NA,289,5,"5,827",gpus
428,high_end,-1,GeForce MX570,NA,290,14,"5,801",gpus
56,high_end,-1,A16,NA,-1,1,"5,797",gpus
780,high_end,-1,Radeon PRO Ryzen 7 PRO 6850U,NA,291,32,"5,789",gpus
799,high_end,-1,Radeon Ryzen 7 PRO 6850H,NA,292,16,"5,768",gpus
949,high_end,-1,Ryzen 9 PRO 6950H,NA,293,9,"5,759",gpus
391,high_end,75,GeForce GTX 970M,209.99*,294,3426,"5,732",gpus
788,high_end,-1,Radeon Ryzen 7 6800H,NA,295,66,"5,698",gpus
805,high_end,-1,Radeon Ryzen 7 7735H,NA,-1,1,"5,632",gpus
786,high_end,75,Radeon Pro WX 5100,359.99*,296,245,"5,624",gpus
670,high_end,250,Radeon R9 280,NA,297,3419,"5,604",gpus
741,high_end,-1,Ryzen 7 PRO 6850U,NA,298,25,"5,581",gpus
198,high_end,-1,NVIDIA A40-12Q,NA,-1,1,"5,573",gpus
765,high_end,375,Radeon HD 7990,399.99*,299,301,"5,566",gpus
465,high_end,300,GeForce GTX 690,280.99*,300,1185,"5,557",gpus
654,high_end,190,Radeon R9 285 / 380,485.00*,301,1841,"5,550",gpus
531,high_end,195,GeForce GTX 680,399.00*,302,7179,"5,531",gpus
380,high_end,-1,GRID M60-8A,NA,303,1,"5,523",gpus
396,high_end,75,Quadro M3000M,159.95*,304,329,"5,478",gpus
693,high_end,-1,GeForce GTX 760 Ti OEM,NA,305,13,"5,427",gpus
836,high_end,-1,Ryzen 9 6900HX,NA,306,16,"5,416",gpus
694,high_end,150,FirePro W7100,389.30*,307,184,"5,399",gpus
357,high_end,-1,GeForce GTX 1050 Ti with Max-Q Design,NA,308,1541,"5,392",gpus
549,high_end,-1,Radeon Pro Vega 20,NA,309,34,"5,391",gpus
780,high_end,-1,Radeon Ryzen 7 7736U,NA,-1,1,"5,377",gpus
670,high_end,-1,GRID P40-4Q,NA,310,2,"5,365",gpus
648,high_end,90,GeForce GTX 950,141.99*,311,6938,"5,346",gpus
840,high_end,-1,Ryzen 7 6800HS Creator Edition,NA,312,7,"5,345",gpus
524,high_end,170,GeForce GTX 670,193.98*,313,9403,"5,300",gpus
825,high_end,-1,Radeon Ryzen 7 7735HS,NA,314,135,"5,276",gpus
413,high_end,85,Radeon RX 5500M,NA,315,206,"5,269",gpus
729,high_end,250,Radeon HD 7970 / R9 280X,246.99*,316,10419,"5,248",gpus
808,high_end,-1,Ryzen 7 6800H,NA,317,10,"5,248",gpus
867,high_end,-1,Ryzen 7 6800HS,NA,318,3,"5,237",gpus
853,high_end,-1,Radeon Ryzen 9 6900HX,NA,319,154,"5,224",gpus
658,high_end,375,Radeon HD 8990,NA,320,26,"5,214",gpus
310,high_end,-1,GRID M60-2Q,NA,321,6,"5,203",gpus
819,high_end,-1,Radeon Ryzen 7 6800HS Creator Edition,NA,322,12,"5,189",gpus
864,high_end,-1,Radeon Ryzen 7 PRO 6850HS,NA,323,8,"5,166",gpus
599,high_end,-1,Q12U-1,NA,324,1,"5,164",gpus
832,high_end,125,Radeon R9 M295X,"1,449.00*",325,28,"5,150",gpus
546,high_end,170,GeForce GTX 760 Ti,297.50*,326,155,"5,145",gpus
763,high_end,-1,Radeon Ryzen 7 PRO 6850U,NA,327,94,"5,127",gpus
627,high_end,75,GeForce GTX 1050 3GB,NA,328,100,"5,121",gpus
686,high_end,-1,GeForce GTX 1630,139.99,329,43,"5,085",gpus
837,high_end,-1,Ryzen 7 PRO 6860Z,NA,330,2,"5,077",gpus
867,high_end,-1,Ryzen 9 PRO 6950HS with Radeon Graphics,NA,331,3,"5,068",gpus
478,high_end,-1,Quadro P2000 with Max-Q Design,NA,332,92,"5,062",gpus
560,high_end,-1,FirePro S9000,NA,333,6,"5,059",gpus
951,high_end,-1,EIZO Quadro MED-XN51LP,NA,334,3,"5,048",gpus
468,high_end,75,GeForce GTX 1050,239.99*,335,16753,"5,043",gpus
745,high_end,125,Radeon R9 M395,NA,336,39,"5,024",gpus
783,high_end,-1,Ryzen 7 6800U,NA,337,17,"5,006",gpus
679,high_end,-1,Radeon Ryzen 7 7735U,NA,338,34,"5,003",gpus
651,high_end,-1,Radeon Ryzen 9 7900 12-Core,NA,339,20,"4,990",gpus
805,high_end,-1,Ryzen 7 PRO 6850U with Radeon Graphics,NA,340,47,"4,966",gpus
441,high_end,-1,Barco MXRT 7600,602.59*,341,1,"4,944",gpus
612,high_end,180,Radeon R9 270X,326.50*,342,10492,"4,917",gpus
